group_code,site_code,marine_site_name,marine_sort_order,latitude,longitude,survey_date,survey_type,target_assemblage,method_code,species_code,disease_category,size_bin,Sum(total),mpa_designation,mpa_region,georegion,bioregion,state_province,island,last_updated
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,mild,100,3,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,severe,90,3,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,mild,110,2,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,mild,120,2,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,140,3,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,10,2,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,90,2,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,mild,90,2,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,20,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,30,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,70,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,110,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,120,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,healthy,180,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,mild,70,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,mild,130,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,severe,40,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
UCSC,ESP,Ecola,4100,45.91809082,-123.98031,7/13/2014,standard,sea_star,IP,PISOCH,severe,100,1,NONE,NONE,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,11/22/22 14:23
